0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207
1011b55a13502bcb7562d610a05ef3bd,15.75,0.0,11.365079365079366,2.0317460317460316,1.5238095238095237,1,2,1,0,0,4,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,3,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,2,0,0,0,1,6,3,0,1,1,1,0,1,0,4,1,0,0,0,1,2,6,2,0,2,1,0,0,0,1,0,0,1,1,2,1,0,1,0,1,1,0,3,0,0,0,2,1,0,4,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,3,1,3,2,0,0,3,0,0,0,0,0,0,4,0,2,0,0,1,6,0,3,0,1,1,0,0,0,1,4,1,0,0,0,0,1,2,6,2,2,1,0,0,0,1,0,1,1,2,1,0,1,0,1,1,0,3,0,0,0,0,1
1026000a7c186f3a4aba1053f9956b42,17.37,0.17271157167530224,12.953367875647668,1.7846862406447899,1.4392630972941853,1,1,4,0,0,0,0,4,0,4,5,2,1,2,0,3,2,1,0,0,1,0,1,0,1,4,1,0,0,0,0,1,0,2,0,0,0,2,1,0,0,3,2,0,0,4,0,0,0,0,0,0,1,6,0,0,2,0,0,0,2,5,0,0,0,1,0,1,0,0,0,0,0,1,1,3,4,1,0,3,0,4,0,1,0,0,1,0,0,5,2,0,2,2,2,1,0,2,0,0,0,1,4,0,0,0,4,0,4,5,2,1,2,0,0,3,2,0,2,0,0,1,0,1,2,0,1,4,1,0,0,0,1,0,2,0,1,0,0,0,0,2,1,0,3,2,4,0,0,0,0,0,1,6,0,0,2,0,0,2,0,5,0,0,1,0,0,0,1,0,0,0,0,1,0,1,3,4,1,3,0,4,0,1,0,0,0,0,5,2,2,2,2,2,1,0,2,0,0,0,0,1
1062f0bc40b27f98bd6775b4cb5a0ab3,14.2,0.07042253521126761,15.352112676056338,2.0422535211267605,0.9859154929577465,1,0,1,0,0,0,0,0,0,5,0,1,1,1,0,0,0,0,0,0,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,1,2,1,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,13,0,4,0,0,0,1,2,0,0,1,1,0,0,1,0,3,0,0,0,2,0,0,1,1,1,0,0,5,0,0,0,2,0,0,1,0,0,0,1,46,0,1,0,0,0,0,0,5,0,1,1,1,0,0,0,0,1,1,0,0,0,3,0,0,1,1,0,0,1,0,0,6,1,1,0,0,0,0,1,2,1,3,1,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,13,3,0,2,0,0,0,0,1,2,0,1,1,0,0,2,1,0,3,0,0,2,0,0,1,1,1,0,5,0,0,0,2,0,0,1,0,0,0,1,46,1,1
108777384be3c97767b02ea4e24760f5,12.98,4.545454545454545,8.551617873651772,2.311248073959938,1.8489984591679507,1,0,4,0,0,1,0,4,2,2,3,0,1,1,18,3,2,1,1,1,0,2,0,1,0,0,5,0,1,15,0,3,0,0,0,2,1,1,0,0,4,1,3,0,0,3,0,0,0,0,0,0,1,8,1,2,2,0,0,0,2,2,0,0,0,1,0,1,1,1,3,0,1,1,0,3,7,3,1,5,0,10,0,0,0,2,0,0,0,1,1,1,0,1,4,1,0,0,0,0,0,0,4,0,1,0,4,2,2,3,0,1,1,18,0,3,2,0,0,1,1,0,2,0,1,1,0,0,5,0,1,15,0,0,4,0,3,0,0,2,1,1,0,0,1,3,3,0,0,0,0,0,1,8,1,2,2,0,0,2,0,2,0,0,1,2,0,0,1,1,3,0,1,1,0,0,3,7,3,5,0,10,0,0,0,2,0,0,1,1,1,0,1,4,1,0,0,0,0,0,0,0
109017200e3161969f8be1b6f54db888,17.57,4.382470119521912,7.228229937393284,1.1383039271485487,0.9106431417188389,1,0,2,3,0,0,1,2,0,0,5,0,0,3,12,1,0,0,1,1,1,5,1,4,0,1,0,0,3,13,0,1,2,0,1,0,0,15,0,0,3,1,3,12,0,6,0,4,2,0,1,0,1,0,2,0,1,1,2,1,2,0,1,1,0,1,3,0,2,2,1,1,1,1,0,4,8,3,4,0,2,0,0,5,0,1,0,0,0,1,0,3,0,3,2,2,0,2,0,3,0,0,2,3,0,1,2,0,0,5,0,0,3,12,0,1,0,0,0,1,1,1,5,1,0,4,0,1,0,0,3,13,2,0,3,0,1,2,1,0,0,15,0,1,1,3,6,0,4,2,0,1,1,0,2,0,1,1,1,2,0,0,0,1,1,0,0,3,0,2,1,1,1,1,0,0,4,8,3,0,2,0,0,5,0,1,0,0,1,0,2,0,3,2,2,0,2,0,3,0,0,0
10aef88d048dafbc75639241b9e35df8,11.48,12.717770034843205,8.97212543554007,1.6550522648083623,0.7839721254355401,1,2,0,0,2,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,55,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,1,0,0,2,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,55,2,0,0,0
10cb6c144d8d763ab4ec9685dfced242,12.93,0.30935808197989173,10.750193348801238,2.7068832173240525,1.082753286929621,1,1,3,1,0,0,0,1,4,2,2,2,1,3,0,1,1,0,0,5,0,0,0,1,5,2,0,1,0,2,1,0,0,2,0,1,2,0,0,0,0,2,2,0,0,1,0,0,2,0,0,0,1,1,1,2,2,0,2,0,1,2,0,2,0,0,0,0,0,0,1,1,4,5,0,0,5,2,0,3,1,0,0,2,0,0,0,0,1,2,2,4,0,3,1,2,0,4,0,2,0,1,3,1,0,0,1,4,2,2,2,1,3,0,0,1,1,0,0,0,5,0,0,0,0,1,5,2,0,1,0,2,2,1,0,1,0,0,0,1,2,0,0,0,2,2,1,0,0,2,0,0,1,1,1,2,2,0,0,1,0,2,0,2,0,0,0,0,0,0,1,1,4,5,0,0,0,5,2,3,1,0,0,2,0,0,0,1,2,2,1,0,3,1,2,0,4,0,2,0,0,1
10d1d084bb0c0550df10c8cd49cbe86d,14.42,8.945908460471568,10.679611650485437,2.0804438280166435,0.970873786407767,1,0,2,0,2,1,2,1,6,1,1,1,0,2,0,2,1,0,0,0,2,0,1,1,1,0,1,1,5,1,0,2,3,1,3,0,0,8,2,0,1,3,2,0,0,4,0,0,0,1,0,1,0,9,1,4,1,0,1,1,1,0,3,1,0,1,1,0,1,0,0,0,2,4,2,1,4,4,1,0,0,2,0,0,2,0,1,1,0,1,3,2,0,4,0,6,0,1,0,1,0,0,2,0,1,2,1,6,1,1,1,0,2,0,2,2,1,0,13,0,0,2,0,1,0,1,1,0,1,1,5,1,2,4,0,0,2,3,0,0,0,8,2,0,3,2,4,0,0,0,1,0,0,9,1,4,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,2,4,1,2,1,4,4,0,0,2,0,0,2,0,1,0,1,3,0,0,4,0,6,0,1,0,1,0,0,0
10fd008c09eb119fe5d38fb468305b75,11.11,0.0,9.270927092709272,2.16021602160216,1.9801980198019804,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,3,0,0,0,1,0,2,0,0,0,0,0,4,6,2,4,0,0,11,0,0,0,4,0,0,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,5,0,1,1,0,1,1,0,0,0,0,2,1,1,2,4,1,0,1,1,1,10,1,5,1,2,2,0,0,2,0,0,0,0,2,0,0,0,1,2,1,0,5,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,3,0,0,3,0,1,0,2,0,0,0,0,0,0,4,6,2,2,0,1,4,0,0,1,0,0,4,0,0,1,1,2,0,0,0,1,0,0,0,0,5,0,1,0,1,0,1,11,0,0,0,0,2,1,2,4,1,0,1,0,1,1,10,1,1,2,2,0,0,2,0,0,0,2,0,0,0,1,2,1,0,5,1,0,0,0,0
11085a5f7e0a1716e80150b8312b92e7,15.56,16.195372750642672,11.375321336760924,0.7712082262210797,2.892030848329049,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,43,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,0,0,43,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,43,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,43,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,43,1
